Date,Open,High,Low,Close
2022-03-01,0.112,0.1185,-0.099,-0.0935
2022-03-02,-0.0635,0.024,-0.0765,0.0195
2022-03-03,0.0165,0.0735,0.0035,0.0135
2022-03-04,-0.0045,0.0005,-0.1115,-0.0755
2022-03-07,-0.0725,-0.0035,-0.104,-0.0185
2022-03-08,-0.0185,0.1345,-0.0225,0.1085
2022-03-09,0.108,0.2135,0.095,0.2135
2022-03-10,0.1775,0.3025,0.148,0.2685
2022-03-11,0.258,0.3125,0.241,0.2415
2022-03-14,0.306,0.3765,0.293,0.3655
2022-03-15,0.3555,0.3615,0.3125,0.3245
2022-03-16,0.3835,0.399,0.3535,0.3895
2022-03-17,0.393,0.4075,0.3495,0.3775
2022-03-18,0.3925,0.4015,0.334,0.3705
2022-03-21,0.3935,0.4715,0.381,0.466
2022-03-22,0.4775,0.5265,0.4765,0.4995
2022-03-23,0.4955,0.5095,0.458,0.464
2022-03-24,0.4575,0.552,0.4425,0.5295
2022-03-25,0.509,0.5845,0.4895,0.5835
2022-03-28,0.5865,0.6275,0.5535,0.5815
2022-03-29,0.6235,0.739,0.591,0.632
2022-03-30,0.6605,0.7185,0.6335,0.6445
2022-03-31,0.633,0.6415,0.522,0.5455
2022-04-01,0.5895,0.6245,0.548,0.5605
2022-04-04,0.5475,0.5605,0.4715,0.5025
2022-04-05,0.5345,0.6225,0.5275,0.6115
2022-04-06,0.6365,0.6815,0.628,0.6455
2022-04-07,0.6135,0.7205,0.6105,0.6795
2022-04-08,0.672,0.725,0.6525,0.7045
2022-04-11,0.754,0.8205,0.7405,0.8155
2022-04-12,0.824,0.877,0.764,0.7905
2022-04-13,0.836,0.8585,0.7545,0.764
2022-04-14,0.775,0.8445,0.748,0.8395
2022-04-19,0.8655,0.959,0.859,0.911
2022-04-20,0.9105,0.917,0.832,0.848
2022-04-21,0.911,0.9485,0.8665,0.9455
2022-04-22,0.9205,0.9785,0.915,0.9705
2022-04-25,0.9005,0.9235,0.818,0.8335
2022-04-26,0.867,0.873,0.786,0.8135
2022-04-27,0.8415,0.846,0.7775,0.8015
2022-04-28,0.8025,0.9115,0.7675,0.8985
2022-04-29,0.8695,0.9525,0.8635,0.936
2022-05-02,0.9605,0.9705,0.9005,0.9635
2022-05-03,0.991,1.0135,0.9075,0.9635
2022-05-04,1.0165,1.0225,0.964,0.9655
2022-05-05,0.9735,1.05,0.9055,1.04
2022-05-06,1.0245,1.1565,1.022,1.1295
2022-05-09,1.116,1.187,1.083,1.092
2022-05-10,1.0865,1.105,0.9865,0.997
2022-05-11,1.0095,1.0885,0.9565,0.981
2022-05-12,0.894,0.906,0.8355,0.8355
2022-05-13,0.891,0.96,0.8705,0.944
2022-05-16,0.935,1.0105,0.9225,0.936
2022-05-17,1.005,1.06,0.971,1.0415
2022-05-18,1.0405,1.0915,1.006,1.0275
2022-05-19,1.004,1.006,0.899,0.947
2022-05-20,0.9765,0.9975,0.9305,0.9405
2022-05-23,0.9615,1.0225,0.927,1.012
2022-05-24,1.0295,1.0295,0.9395,0.968
2022-05-25,0.962,0.9755,0.907,0.9475
2022-05-26,0.933,1.0065,0.884,1
2022-05-27,0.966,1.0015,0.931,0.9595
2022-05-30,1.0225,1.067,1.0065,1.0525
2022-05-31,1.0525,1.1415,1.0255,1.122
2022-06-01,1.14,1.1855,1.1085,1.1855
2022-06-02,1.19,1.242,1.183,1.2345
2022-06-03,1.2495,1.2805,1.2225,1.2725
2022-06-06,1.26,1.331,1.2475,1.3155
2022-06-07,1.32,1.3235,1.272,1.288
2022-06-08,1.305,1.361,1.296,1.352
2022-06-09,1.363,1.4635,1.331,1.426
2022-06-10,1.4285,1.5155,1.38,1.515
2022-06-13,1.515,1.633,1.499,1.631
2022-06-14,1.601,1.7745,1.589,1.752
2022-06-15,1.7145,1.7655,1.5825,1.6385
2022-06-16,1.6465,1.9215,1.6335,1.7095
2022-06-17,1.7325,1.78,1.6135,1.658
2022-06-20,1.6385,1.748,1.6165,1.7465
2022-06-21,1.7155,1.793,1.7105,1.7675
2022-06-22,1.684,1.7,1.585,1.634
2022-06-23,1.642,1.644,1.3875,1.4245
2022-06-24,1.409,1.5015,1.351,1.4375
2022-06-27,1.477,1.5675,1.4585,1.544
2022-06-28,1.578,1.667,1.569,1.622
2022-06-29,1.565,1.635,1.494,1.516
2022-06-30,1.4415,1.455,1.3345,1.3345
2022-07-01,1.3485,1.4065,1.157,1.2305
2022-07-04,1.257,1.3465,1.247,1.33
2022-07-05,1.3305,1.3455,1.169,1.172
2022-07-06,1.218,1.224,1.0685,1.155
2022-07-07,1.255,1.3215,1.242,1.308
2022-07-08,1.2845,1.3525,1.246,1.344
2022-07-11,1.2925,1.317,1.215,1.245
2022-07-12,1.199,1.201,1.091,1.1295
2022-07-13,1.1735,1.2195,1.1225,1.141
2022-07-14,1.163,1.256,1.1485,1.1715
2022-07-15,1.0865,1.1725,1.068,1.131
2022-07-18,1.1785,1.2395,1.163,1.2115
2022-07-19,1.1765,1.3,1.173,1.271
2022-07-20,1.267,1.289,1.183,1.2535
2022-07-21,1.251,1.367,1.191,1.2205
2022-07-22,1.188,1.188,0.9845,1.0365
2022-07-25,1.061,1.0845,1.01,1.0195
2022-07-26,0.996,1.0115,0.9075,0.922
2022-07-27,0.968,0.972,0.9175,0.942
2022-07-28,1.0005,1.0005,0.795,0.824
2022-07-29,0.847,0.914,0.8075,0.811
2022-08-01,0.8235,0.8805,0.754,0.7755
2022-08-02,0.7265,0.8145,0.6755,0.8145
2022-08-03,0.8105,0.9115,0.8065,0.8715
2022-08-04,0.857,0.8935,0.7855,0.7995
2022-08-05,0.801,0.962,0.796,0.9535
2022-08-08,0.901,0.922,0.862,0.893
2022-08-09,0.8805,0.9615,0.868,0.9165
2022-08-10,0.913,0.9275,0.834,0.885
2022-08-11,0.895,0.9875,0.85,0.969
2022-08-12,0.9965,1.022,0.953,0.985
2022-08-15,0.975,1.0145,0.8835,0.9025
2022-08-16,0.9155,1.002,0.9035,0.9725
2022-08-17,0.9935,1.1075,0.9835,1.081
2022-08-18,1.12,1.1355,1.0635,1.1015
2022-08-19,1.1805,1.2405,1.1525,1.2325
2022-08-22,1.181,1.309,1.1785,1.302
2022-08-23,1.27,1.3715,1.247,1.3195
2022-08-24,1.3675,1.3875,1.309,1.3685
2022-08-25,1.354,1.3825,1.3075,1.3165
2022-08-26,1.3325,1.431,1.3185,1.385
2022-08-29,1.501,1.5435,1.46,1.5
2022-08-30,1.5075,1.5395,1.4355,1.5045
2022-08-31,1.4615,1.5795,1.459,1.5355
2022-09-01,1.597,1.6295,1.5495,1.557
2022-09-02,1.552,1.6045,1.4795,1.5185
2022-09-05,1.506,1.5865,1.5025,1.56
2022-09-06,1.5735,1.635,1.48,1.629
2022-09-07,1.608,1.629,1.5435,1.574
2022-09-08,1.5435,1.7255,1.539,1.7145
2022-09-09,1.7395,1.7925,1.6355,1.6925
2022-09-12,1.7375,1.7505,1.6335,1.652
2022-09-13,1.682,1.7515,1.6375,1.725
2022-09-14,1.7175,1.7745,1.6785,1.7075
2022-09-15,1.743,1.7635,1.699,1.761
2022-09-16,1.7845,1.801,1.743,1.745
2022-09-19,1.769,1.814,1.7405,1.796
2022-09-20,1.801,1.95,1.801,1.928
2022-09-21,1.9245,1.9245,1.8365,1.88
